id,Canton,Siege_2020,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Zurich,180,4.44,4.44,4.44,4.44,9.44,9.44,9.44,9.44,15.00,15.00,15.00,15.00,20.56,20.56,20.56,20.56,20.00,20.00,20.00,20.00,28.89,28.89,28.89,28.89,26.11,26.11,26.11,26.11,31.11,31.11,31.11,31.11,32.22,32.22,32.22,32.22,33.33,33.33,33.33,33.33,33.89,33.89,33.89,33.89,40.56,40.56
2,Berne,160,5,5.00,5.00,8.00,8.00,8.00,8.00,12.00,12.00,12.00,12.00,15.00,15.00,15.00,15.00,17.50,17.50,17.50,17.50,25.50,25.50,25.50,25.50,29.50,29.50,29.50,29.50,30.00,37.50,37.50,37.50,31.25,31.25,31.25,31.25,26.25,26.25,26.25,26.25,31.88,31.88,31.88,31.88,35.63,35.63,35.63
3,Lucerne,170,6.47,6.47,6.47,6.47,10.59,10.59,10.59,10.59,16.47,16.47,16.47,16.47,18.82,18.82,18.82,18.82,24.71,24.71,24.71,24.71,30.00,30.00,30.00,30.00,29.17,29.17,29.17,29.17,25.83,25.83,25.83,25.83,25.83,25.83,25.83,25.83,30.83,30.83,30.83,30.83,29.17,29.17,29.17,29.17,34.17,34.17
4,Uri,64,-1,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,3.13,3.13,3.13,3.13,9.38,9.38,9.38,9.38,10.94,10.94,10.94,10.94,15.63,15.63,15.63,15.63,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,20.31,20.31,20.31,20.31,18.75,18.75,18.75,18.75,23.44,23.44,23.44,23.44,25.00
5,Schwytz,100,-1,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,14.00,14.00,14.00,14.00,18.00,18.00,18.00,18.00,23.00,23.00,23.00,23.00,17.00,17.00,17.00,17.00,14.00,14.00,14.00,14.00,9.00
6,Obwald,55,1.96,1.96,1.96,1.96,1.96,1.96,1.96,5.77,5.77,5.77,5.77,7.69,7.69,7.69,7.69,10.91,10.91,10.91,10.91,20.00,20.00,20.00,20.00,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,27.27,27.27,27.27,27.27,32.73,32.73,32.73,32.73,29.09,29.09,29.09,29.09,25.45,25.45,25.45
7,Nidwald,60,1.67,1.67,1.67,1.67,1.67,1.67,1.67,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,11.67,11.67,11.67,11.67,21.67,21.67,21.67,21.67,25.00,25.00,25.00,25.00,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.33,16.67,16.67,16.67,16.67,15.00,15.00,15.00,15.00,21.67,21.67,21.67
8,Glaris,60,2.60,2.60,2.60,2.60,2.60,2.60,2.60,5.00,5.00,5.00,5.00,3.75,3.75,3.75,3.75,5.00,5.00,5.00,5.00,7.50,7.50,7.50,7.50,13.75,13.75,13.75,13.75,10.00,10.00,10.00,10.00,11.25,11.25,11.25,11.25,11.67,11.67,11.67,11.67,16.67,16.67,16.67,16.67,21.67,21.67,21.67
9,Zoug,80,2.5,2.50,2.50,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.50,7.50,7.50,7.50,16.25,16.25,16.25,16.25,26.25,26.25,26.25,26.25,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,33.75,33.75,33.75,33.75,23.75,23.75,23.75,23.75,27.50,27.50,27.50,27.50,28.75,28.75,28.75
10,Fribourg,110,-1,10.77,10.77,10.77,10.77,10.77,10.00,10.00,10.00,10.00,10.00,10.77,10.77,10.77,10.77,10.77,14.62,14.62,14.62,14.62,14.62,21.54,21.54,21.54,21.54,21.54,25.38,25.38,25.38,25.38,25.38,23.64,23.64,23.64,23.64,23.64,20.91,20.91,20.91,20.91,20.91,29.09,29.09,29.09,29.09,29.09
