canton,id,annee,femmes,hommes,total,vote_femme
Zurich,1,1975,8,172,180,1971
Zurich,1,1979,17,163,180,1971
Zurich,1,1983,27,153,180,1971
Zurich,1,1987,37,143,180,1971
Zurich,1,1991,36,144,180,1971
Zurich,1,1995,52,128,180,1971
Zurich,1,1999,47,133,180,1971
Zurich,1,2003,56,124,180,1971
Zurich,1,2007,58,122,180,1971
Zurich,1,2011,60,120,180,1971
Zurich,1,2015,61,119,180,1971
Zurich,1,2019,73,107,180,1971
Zoug,9,1974,2,78,80,1971
Zoug,9,1978,5,75,80,1971
Zoug,9,1982,5,75,80,1971
Zoug,9,1986,6,74,80,1971
Zoug,9,1990,13,67,80,1971
Zoug,9,1994,21,59,80,1971
Zoug,9,1998,22,58,80,1971
Zoug,9,2002,22,58,80,1971
Zoug,9,2006,27,53,80,1971
Zoug,9,2010,19,61,80,1971
Zoug,9,2014,22,58,80,1971
Zoug,9,2018,23,57,80,1971
Valais,23,1973,7,123,130,1971
Valais,23,1977,6,124,130,1971
Valais,23,1981,7,123,130,1971
Valais,23,1985,6,124,130,1971
Valais,23,1989,9,121,130,1971
Valais,23,1993,14,116,130,1971
Valais,23,1997,21,109,130,1971
Valais,23,2001,17,113,130,1971
Valais,23,2005,27,103,130,1971
Valais,23,2009,28,102,130,1971
Valais,23,2013,21,109,130,1971
Valais,23,2017,25,105,130,1971
Valais,23,2021,45,85,130,1971
Vaud,22,1974,16,184,200,1959
Vaud,22,1978,24,176,200,1959
Vaud,22,1982,23,177,200,1959
Vaud,22,1986,18,182,200,1959
Vaud,22,1990,31,169,200,1959
Vaud,22,1994,41,159,200,1959
Vaud,22,1998,44,136,180,1959
Vaud,22,2002,43,137,180,1959
Vaud,22,2007,44,106,150,1959
Vaud,22,2012,45,105,150,1959
Vaud,22,2017,48,102,150,1959
Uri,4,1976,1,63,64,1971
Uri,4,1980,1,63,64,1971
Uri,4,1984,2,62,64,1971
Uri,4,1988,6,58,64,1971
Uri,4,1992,7,57,64,1971
Uri,4,1996,10,54,64,1971
Uri,4,2000,15,49,64,1971
Uri,4,2004,15,49,64,1971
Uri,4,2008,13,51,64,1971
Uri,4,2012,12,52,64,1971
Uri,4,2016,15,49,64,1971
